지역번호,지점명,일자,시간,기온(C),풍속(m/s),습도(%)
1,서울,2020-08-01,0,25,3.4,90
2,부산,2020-08-01,0,25.9,2.4,85
3,대구,2020-08-01,0,25.4,0.7,89
4,인천,2020-08-01,0,24.4,1.2,97
5,광주,2020-08-01,0,25.6,1.6,97
6,대전,2020-08-01,0,24,0.1,97
7,울산,2020-08-01,0,25.3,1,98
8,강릉,2020-08-01,0,29,2.4,65
9,제주,2020-08-01,0,26.5,0.3,87
1,서울,2020-08-01,1,24.6,0.5,90
2,부산,2020-08-01,1,25.7,3.1,86
3,대구,2020-08-01,1,25.1,0.6,89
4,인천,2020-08-01,1,24.3,1.2,97
5,광주,2020-08-01,1,25.4,0.8,97
6,대전,2020-08-01,1,24.2,1.2,97
7,울산,2020-08-01,1,25.1,1.6,98
8,강릉,2020-08-01,1,28.8,2.4,66
9,제주,2020-08-01,1,26.9,0.9,71
1,서울,2020-08-01,2,24.6,0.5,91
2,부산,2020-08-01,2,25.4,2.7,88
3,대구,2020-08-01,2,24.8,0,91
4,인천,2020-08-01,2,24.6,2.1,97
5,광주,2020-08-01,2,25.3,0.5,97
6,대전,2020-08-01,2,24.4,0,97
7,울산,2020-08-01,2,25,1.2,98
8,강릉,2020-08-01,2,28.6,2.3,65
9,제주,2020-08-01,2,25.6,0.7,87
1,서울,2020-08-01,3,24.7,1.2,93
2,부산,2020-08-01,3,25,2,89
3,대구,2020-08-01,3,24.8,0.7,92
4,인천,2020-08-01,3,24.7,3.3,97
5,광주,2020-08-01,3,25,0.6,97
6,대전,2020-08-01,3,24.4,0.9,97
7,울산,2020-08-01,3,25,1.5,98
8,강릉,2020-08-01,3,28.6,1.9,65
9,제주,2020-08-01,3,26.7,0.7,78
1,서울,2020-08-01,4,24.7,0.8,94
2,부산,2020-08-01,4,24.3,2.5,92
3,대구,2020-08-01,4,24.3,0.7,93
4,인천,2020-08-01,4,24.7,2.3,97
5,광주,2020-08-01,4,24.9,1.1,98
6,대전,2020-08-01,4,24.3,0.2,97
7,울산,2020-08-01,4,25,0.7,98
8,강릉,2020-08-01,4,28.6,2.8,65
9,제주,2020-08-01,4,26.1,0.5,82
1,서울,2020-08-01,5,24.5,1.3,94
2,부산,2020-08-01,5,24.3,2.5,93
3,대구,2020-08-01,5,24.1,0,95
4,인천,2020-08-01,5,24.5,3.6,97
5,광주,2020-08-01,5,24.9,0.4,98
6,대전,2020-08-01,5,24.2,0,97
7,울산,2020-08-01,5,25.4,0.4,97
8,강릉,2020-08-01,5,27.3,3.1,68
9,제주,2020-08-01,5,26.1,0.5,80
1,서울,2020-08-01,6,24.3,1.8,95
2,부산,2020-08-01,6,24.9,2.8,91
3,대구,2020-08-01,6,24,0,95
4,인천,2020-08-01,6,24.5,3.6,97
5,광주,2020-08-01,6,24.7,1,98
6,대전,2020-08-01,6,24.2,0.4,97
7,울산,2020-08-01,6,25,2.4,98
8,강릉,2020-08-01,6,26,1.9,75
9,제주,2020-08-01,6,25.8,1.6,77
1,서울,2020-08-01,7,24.3,1.4,96
2,부산,2020-08-01,7,25.1,2.9,89
3,대구,2020-08-01,7,24.7,0.1,94
4,인천,2020-08-01,7,24.6,3,97
5,광주,2020-08-01,7,25.2,0,98
6,대전,2020-08-01,7,24.4,0.7,97
7,울산,2020-08-01,7,25.4,1,98
8,강릉,2020-08-01,7,27.8,2.7,69
9,제주,2020-08-01,7,26.5,1.2,70
1,서울,2020-08-01,8,24.6,1.2,96
2,부산,2020-08-01,8,26.1,3.3,86
3,대구,2020-08-01,8,25.9,0.6,92
4,인천,2020-08-01,8,24.6,4.7,96
5,광주,2020-08-01,8,26.1,0.3,95
6,대전,2020-08-01,8,25.1,0.1,97
7,울산,2020-08-01,8,27.3,1.2,92
8,강릉,2020-08-01,8,29.1,2.9,64
9,제주,2020-08-01,8,27.6,0.6,74
1,서울,2020-08-01,9,25,1.1,95
2,부산,2020-08-01,9,27.6,3.1,81
3,대구,2020-08-01,9,27.3,1.1,86
4,인천,2020-08-01,9,24.9,4.1,95
5,광주,2020-08-01,9,27.5,0.8,91
6,대전,2020-08-01,9,26.2,0.6,97
7,울산,2020-08-01,9,28,1,88
8,강릉,2020-08-01,9,29.8,3.5,60
9,제주,2020-08-01,9,29.6,1.2,68
1,서울,2020-08-01,10,25.7,1.8,95
2,부산,2020-08-01,10,28.1,2.1,78
3,대구,2020-08-01,10,28.7,1.4,76
4,인천,2020-08-01,10,25.4,4.1,93
5,광주,2020-08-01,10,29,1.5,80
6,대전,2020-08-01,10,27.6,1.2,90
7,울산,2020-08-01,10,29.9,0.9,80
8,강릉,2020-08-01,10,29.3,2.4,62
9,제주,2020-08-01,10,27.7,2,73
1,서울,2020-08-01,11,26.8,3.4,85
2,부산,2020-08-01,11,29.4,4.3,68
3,대구,2020-08-01,11,29.8,1.8,69
4,인천,2020-08-01,11,24,4.2,91
5,광주,2020-08-01,11,29.2,3.3,76
6,대전,2020-08-01,11,28.7,1.5,81
7,울산,2020-08-01,11,31,1.8,70
8,강릉,2020-08-01,11,29,4.1,63
9,제주,2020-08-01,11,29.6,1.9,71
1,서울,2020-08-01,12,26.5,1.8,87
2,부산,2020-08-01,12,28.8,4.3,74
3,대구,2020-08-01,12,31.4,2.3,55
4,인천,2020-08-01,12,23.8,1.8,94
5,광주,2020-08-01,12,29.3,2.7,81
6,대전,2020-08-01,12,30.3,1.6,72
7,울산,2020-08-01,12,31.8,1.8,66
8,강릉,2020-08-01,12,29.8,2.6,61
9,제주,2020-08-01,12,28.9,2.6,76
1,서울,2020-08-01,13,24.7,0.8,93
2,부산,2020-08-01,13,29.7,4.2,71
3,대구,2020-08-01,13,32.5,2,49
4,인천,2020-08-01,13,24,2.2,96
5,광주,2020-08-01,13,29.8,3.4,81
6,대전,2020-08-01,13,29.3,1.4,77
7,울산,2020-08-01,13,32,2.4,58
8,강릉,2020-08-01,13,30.3,1.8,65
9,제주,2020-08-01,13,28.8,2.5,69
1,서울,2020-08-01,14,25.2,0.8,93
2,부산,2020-08-01,14,29.7,5.9,66
3,대구,2020-08-01,14,33.1,2.6,41
4,인천,2020-08-01,14,24.3,1.9,95
5,광주,2020-08-01,14,28.7,3.7,84
6,대전,2020-08-01,14,28.6,2.3,76
7,울산,2020-08-01,14,32.6,3.1,53
8,강릉,2020-08-01,14,30.4,2.1,67
9,제주,2020-08-01,14,29.1,2.5,73
1,서울,2020-08-01,15,25.4,2.2,92
2,부산,2020-08-01,15,29.5,4.6,67
3,대구,2020-08-01,15,33.3,2.5,43
4,인천,2020-08-01,15,24.4,2.9,96
5,광주,2020-08-01,15,28.3,2.8,89
6,대전,2020-08-01,15,27.8,2.7,82
7,울산,2020-08-01,15,32.8,2.9,53
8,강릉,2020-08-01,15,30,1.5,69
9,제주,2020-08-01,15,30,2.9,67
1,서울,2020-08-01,16,25.9,2.5,91
2,부산,2020-08-01,16,28.9,6.2,66
3,대구,2020-08-01,16,32.1,2,53
4,인천,2020-08-01,16,24.5,2.1,96
5,광주,2020-08-01,16,27.7,3.6,94
